indicator_code,country_code,status,used_source,used_series_code,is_fallback,reason
TS_SLOPE,US,ok,FRED,IRLTLT01USM156N-IR3TIB01USM156N,0,
TS_SLOPE,DE,ok,FRED,IRLTLT01DEM156N-IR3TIB01DEM156N,0,
TS_SLOPE,ES,ok,FRED,IRLTLT01ESM156N-IR3TIB01ESM156N,0,
TS_SLOPE,UK,ok,FRED,IRLTLT01GBM156N-IR3TIB01GBM156N,0,
VIX_EQ,US,ok,FRED,VIXCLS,0,
VIX_EQ,DE,ok,FRED,VIXCLS,0,
VIX_EQ,ES,ok,FRED,VIXCLS,0,
VIX_EQ,UK,ok,FRED,VIXCLS,0,
CS_CORP,US,ok,FRED,BAMLC0A0CM,0,
CS_CORP,DE,ok,FRED,BAMLHE00EHYIOAS,0,
CS_CORP,ES,ok,FRED,BAMLHE00EHYIOAS,0,
CS_CORP,UK,ok,FRED,BAMLC0A0CM,0,
LIQ_SPREAD,US,ok,FRED,TEDRATE,0,
LIQ_SPREAD,DE,ok,FRED,TEDRATE,0,
LIQ_SPREAD,ES,ok,FRED,TEDRATE,0,
LIQ_SPREAD,UK,ok,FRED,TEDRATE,0,
C2GDP_GAP,US,ok,BIS_PORTAL,WS_CREDIT_GAP:Q.US.P.A.C,0,
C2GDP_GAP,DE,ok,BIS_PORTAL,WS_CREDIT_GAP:Q.DE.P.A.C,0,
C2GDP_GAP,ES,ok,BIS_PORTAL,WS_CREDIT_GAP:Q.ES.P.A.C,0,
C2GDP_GAP,UK,ok,BIS_PORTAL,WS_CREDIT_GAP:Q.GB.P.A.C,0,
CREDIT_GROWTH,US,ok,FRED,QUSPAMUSDA,0,
CREDIT_GROWTH,DE,ok,FRED,QDEPAMUSDA,0,
CREDIT_GROWTH,ES,ok,FRED,QESPAMUSDA,0,
CREDIT_GROWTH,UK,ok,FRED,QGBPAMUSDA,0,
DSR,US,ok,BIS_PORTAL,WS_DSR:Q.US.P,0,
DSR,DE,ok,BIS_PORTAL,WS_DSR:Q.DE.P,0,
DSR,ES,ok,BIS_PORTAL,WS_DSR:Q.ES.P,0,
DSR,UK,ok,BIS_PORTAL,WS_DSR:Q.GB.P,0,
HPI_GROWTH,US,ok,FRED,QUSR628BIS,0,
HPI_GROWTH,DE,ok,FRED,QDER628BIS,0,
HPI_GROWTH,ES,ok,FRED,QESR628BIS,0,
HPI_GROWTH,UK,ok,FRED,QGBR628BIS,0,
GDP_GROWTH,US,ok,FRED,NAEXKP01USQ661S,0,
GDP_GROWTH,DE,ok,FRED,NAEXKP01DEQ661S,0,
GDP_GROWTH,ES,ok,FRED,NAEXKP01ESQ661S,0,
GDP_GROWTH,UK,ok,FRED,NAEXKP01GBQ661S,0,
UNEMP,US,ok,FRED,LRHUTTTTUSM156S,0,
UNEMP,DE,ok,FRED,LRHUTTTTDEM156N,0,
UNEMP,ES,ok,FRED,LRHUTTTTESM156S,0,
UNEMP,UK,ok,FRED,LRHUTTTTGBM156S,0,
CPI_INFL,US,ok,FRED,CPALTT01USM659N,0,
CPI_INFL,DE,ok,FRED,CPALTT01DEM659N,0,
CPI_INFL,ES,ok,FRED,CPALTT01ESM659N,0,
CPI_INFL,UK,ok,FRED,CPALTT01GBM659N,0,
EPU,US,ok,FRED,USEPUINDXM,0,
EPU,DE,ok,FRED,DEEPUINDXM,0,
EPU,ES,ok,FRED,SPEPUINDXM,0,
EPU,UK,ok,FRED,UKEPUINDXM,0,
